Command_Code,Command_Name
DCU TACT TRN                                                ,TACTICAL TRAINING UNIT
DESIGN&EVAL                                                 ,DCSI DESIGN & EVAL OFFICE
DET BUR                                                     ,DETECTIVE BUREAU
DET BUR                                                     ,OFFICE OF THE CHIEF OF DETECTIVES
DIR TRN                                                     ,
DIS CTL                                                     ,DISORDER CONTROL UNIT
DOC FRAUD SQD                                               ,DOCUMENT FRAUD SQUAD
DPT ADV                                                     ,
DPT INV                                                     ,DEPT OF INVESTIGATION SQUAD
DR.ED&T                                                     ,
DRIVE ED & TRN                                              ,DRIVER EDUCATION & TRAINING UNIT
DRUG ENF TF                                                 ,DRUG ENFORCEMENT TASK FORCE
E S U                                                       ,
EEO DIV                                                     ,EQUAL EMPLOYMENT OPPORTUNITY DIV
EEO INV UNIT                                                ,EEO INVESTIGATIONS UNIT
ELECTRONICS                                                 ,LSSD ELECTRONICS SECTION
EM OPS                                                      ,
EMER OPS DIV                                                ,EMERGENCY OPERATIONS DIVISION
EMP REL                                                     ,
EMPL RESOURCE                                               ,EMPLOYEE RESOURCES SECTION
EPE RECOVERY TF                                             ,OPS EPE RECOVERY TASK FORCE
EQP SEC                                                     ,
EQUIPMENT                                                   ,EQUIPMENT SECTION
ESS 01                                                      ,EMER SERV SQ 01
ESS 02                                                      ,EMER SERV SQ 02
ESS 03                                                      ,EMER SERV SQ 03
ESS 04                                                      ,EMER SERV SQ 04
ESS 05                                                      ,EMER SERV SQ 05
ESS 06                                                      ,EMER SERV SQ 06
ESS 07                                                      ,EMER SERV SQ 07
ESS 08                                                      ,EMER SERV SQ 08
ESS 09                                                      ,EMER SERV SQ 09
ESS 10                                                      ,EMER SERV SQ 10
ESU                                                         ,EMERGENCY SERVICES UNIT
ESU CAN                                                     ,
ESU K9                                                      ,ESU CANINE TEAM
F S D                                                       ,
F S S                                                       ,FIREARMS SUPPRESSION SECTION
F.T.S.                                                      ,
FACIL MGMT                                                  ,FACILITIES MANAGEMENT DIVISION
FAM ASSIST                                                  ,FAMILY ASSISTANCE SECTION
FAM EXEMPT                                                  ,FAS EXEMPT HARDSHIP
FAM SEC                                                     ,
FAM SUPP TEAM                                               ,FAS SUPPORT TEAM
FIN CRM SEC                                                 ,CEIS FINANCIAL CRIMES SECTION
FIREARMS INV                                                ,FIREARMS INVESTIGATION UNIT
FIS DIV                                                     ,
FISCAL AFF                                                  ,FISCAL AFFAIRS DIVISION
FLT SRV                                                     ,FLEET SERVICES DIVISION
FLT SVC                                                     ,
FM DIV                                                      ,
FM SEC                                                      ,FACILITY MAINTENANCE SECTION
FOR INV                                                     ,
FORCE ID                                                    ,FORCE INVESTIGATION DIVISION
FORCE ID Z1                                                 ,FORCE ID ZONE 1 (M/BX)
FORCE ID Z2                                                 ,FORCE ID ZONE 2 (BK/QNS/SI)
FORCEID                                                     ,
FRAUD COL IN                                                ,CEIS FRAUD COLLISION INV SQUAD
FTS                                                         ,FIREARMS & TACTICS SECTION
FUG ENF                                                     ,
GANG BN                                                     ,
GANG BS                                                     ,
GANG BX                                                     ,
GANG DV                                                     ,
GANG ID                                                     ,
GANG IU                                                     ,
GANG M                                                      ,
GANG MN                                                     ,
GANG MS                                                     ,
GANG Q                                                      ,
GANG QN                                                     ,
GANG QS                                                     ,
GANG SI                                                     ,
GLD ZN 1                                                    ,GRAND LARCENY DIV ZONE 1
GRANTS UNIT                                                 ,GRANTS UNIT
GUN OFFDR MONT                                              ,GUN OFFENDER MONITORING UNIT
GVS DIV                                                     ,
GVSD GUN REC                                                ,GVSD GUN RECIDIVIST INV PROG
GVSD JFTF                                                   ,GVSD JOINT FIREARMS TASK FORCE
GVSD Z1                                                     ,"GUN VIOL SUPP DIV Z1 (BK,Q,SI)"
GVSD Z1 VRTF                                                ,GVSD Z1 VIOLENCE RED T/F
GVSD Z2                                                     ,"GUN VIOL SUPP DIV Z2 (MAN,BX)"
GVSD Z2 VRTF                                                ,GVSD Z2 VIOLENCE RED T/F
H BKLYN                                                     ,HOUSING BOROUGH BROOKLYN
H BX/Q                                                      ,HOUSING BOROUGH BRONX/QUEENS
H INV U                                                     ,HOUSING INVESTIGATIONS UNIT
H MAN                                                       ,
H SP OP                                                     ,HB SPECIAL OPERATIONS SECTION
H VANDL                                                     ,
H&W EAU                                                     ,H&W EMPLOYEE ASSISTANCE UNIT
H&WELL                                                      ,
H&WELL POPPA                                                ,H&WELL POPPA LIAISON
HARBOR                                                      ,HARBOR UNIT
HAZ WMD                                                     ,HAZMAT/WEAPONS OF MASS DESTRUCTION
HB                                                          ,HOUSING BUREAU
HB SPEC                                                     ,
HBK IRT                                                     ,
HBK RT                                                      ,HB BROOKLYN RESPONSE TEAM
HBM                                                         ,HOUSING BOROUGH MANHATTAN
HBM IRT                                                     ,
HBM RT                                                      ,HB MANHATTAN RESPONSE TEAM
HBX/QIM                                                     ,
HBXQ RT                                                     ,HB BRONX/QUEENS RESPONSE TEAM
HBXQIRT                                                     ,
HLTH & WELL                                                 ,HEALTH & WELLNESS SECTION
HLTH INS                                                    ,HEALTH INSURANCE SECTION
HOMLESS                                                     ,
HOMLESS                                                     ,
HOSS                                                        ,
HOST NEG                                                    ,SID HOSTAGE NEGOTIATION TEAM
